id,link,screen_name,source,text,time,user_id
926276132982460416,https://www.twitter.com/RepRickLarsen/statuses/926276132982460416,RepRickLarsen,Twitter for Android,Quite https://twitter.com/maggieNYT/status/925777164364144640 QT @maggieNYT This is quite a statement for a sitting president to make https://twitter.com/joshtpm/status/925766394058330112,2017-11-03T02:33:34Z,404132211
926275951809490944,https://www.twitter.com/RoKhanna/statuses/926275951809490944,RoKhanna,Twitter for iPhone,@changermindset @BrandenAgain @WarrenDavidson @davidfking @CJNyeArt And acknowledgment of refueling and targeting and also that interference in Yemen Civil War is unauthorized,2017-11-03T02:32:50Z,771152516
926275819584000001,https://www.twitter.com/RoKhanna/statuses/926275819584000001,RoKhanna,Twitter for iPhone,"@changermindset @BrandenAgain @WarrenDavidson @davidfking @CJNyeArt We are still pushing for folks to support 81, and hoping for Senate introduction also. This was only way to get debate...",2017-11-03T02:32:19Z,771152516
926275190224556034,https://www.twitter.com/RepRickLarsen/statuses/926275190224556034,RepRickLarsen,Twitter for Android,@joshtpm COOL!!!,2017-11-03T02:29:49Z,404132211
926273020133482496,https://www.twitter.com/ACLU/statuses/926147916913414144,RosenforNevada,Twitter for iPhone,RT @ACLU Today is #LatinaEqualPay day. Latina women have to work 10 more months than white men to catch up to them. We need equal pay now. http://pbs.twimg.com/media/DNpWl8DWsAAeiGb.jpg,2017-11-03T02:21:11Z,4749863113
926272813115244544,https://www.twitter.com/NewsChannel8/statuses/926266078543728641,RepRaskin,Twitter for iPhone,RT @NewsChannel8 Democratic lawmakers sue over Trump Admin. secrecy on Trump Hotel @OversightDems @RepCummings @RepRaskin http://wjla.com/news/nation-world/democratic-lawmakers-sue-over-trump-administration-secrecy-on-trump-hotel-in-dc http://pbs.twimg.com/media/DNrCAqBXUAAGZIz.jpg,2017-11-03T02:20:22Z,806906355214852096
926272215418638336,https://www.twitter.com/TomCottonAR/statuses/926272215418638336,TomCottonAR,Twitter for iPhone,"@RonBrownstein @RalphNortham GOP SHOULD run against sanctuary cities! Massively unpopular, big part of Toomey's PA '16 win. That's why Northam flip-flopped last night!",2017-11-03T02:18:00Z,343041182
926272083012800512,https://www.twitter.com/BettyMcCollum04/statuses/926272083012800512,BettyMcCollum04,TweetDeck,.@HouseGOP plan to pay for  Children’s Health Insurance Program by slashing other health care programs is wrong. https://www.facebook.com/repbettymccollum/posts/1539294612792565,2017-11-03T02:17:28Z,516880804
926271239039090688,https://www.twitter.com/RepRickLarsen/statuses/926271239039090688,RepRickLarsen,Twitter for Android,"Will be watching from DC tonight. Votes tomorrow, so stuck here.  GO @SoundersFC !!!!!!! https://twitter.com/jasonrantz/status/926229179527335936 QT @jasonrantz I’ll be taking over the @KIRORadio twitter account for the @SoundersFC game soon! Follow along there for some shenanigans. ⚽️🙀",2017-11-03T02:14:07Z,404132211
926270660690743296,https://www.twitter.com/RepJimRenacci/statuses/926270660690743296,RepJimRenacci,Twitter Web Client,#TodayIn20 included pushing for pro-growth #TaxReform w/ the Tax Cuts &amp; Jobs Act &amp; joining @realDonaldTrump for a meeting at the @WhiteHouse http://pbs.twimg.com/ext_tw_video_thumb/926270198608465927/pu/img/fDzAZJ1oiUHtZAuR.jpg https://video.twimg.com/ext_tw_video/926270198608465927/pu/pl/bQ3Nsf8wT6O4d1dl.m3u8,2017-11-03T02:11:49Z,236916916
926270490116874247,https://www.twitter.com/TulsiGabbard/statuses/926270490116874247,TulsiGabbard,Twitter Web Client,"The DNC needs real reforms that empower the people, and take our party back from the special interests of a powerful few. We need your help.",2017-11-03T02:11:08Z,26637348
926270350597423109,https://www.twitter.com/allinwithchris/statuses/926270227440168960,RepRubenGallego,Twitter for iPhone,RT @allinwithchris John Kelly is not honorable: @RepRubenGallego http://on.msnbc.com/2yqI77K #inners,2017-11-03T02:10:35Z,2966570782
926270283505430528,https://www.twitter.com/RepSwalwell/statuses/926240732247134208,JoaquinCastrotx,Twitter Lite,"RT @RepSwalwell After a full day together in Intel hearings, @JoaquinCastrotx &amp; I closed out the day watching @warriors take on @spurs. #DubNation http://pbs.twimg.com/media/DNqrCFPUEAA40Ju.jpg",2017-11-03T02:10:19Z,231510077
926269842142965761,https://www.twitter.com/bpshow/statuses/926267689672196096,RepDonBeyer,Twitter for iPhone,"RT @bpshow If you enjoyed our segment on Trump #TaxCuts with @RepJayapal, then watch our segment with @RepDonBeyer 

https://youtu.be/4r923dLooOo",2017-11-03T02:08:34Z,2962868158
926269578078048256,https://www.twitter.com/RepRichHudson/statuses/926269578078048256,RepRichHudson,Twitter for iPhone,@miguelitonorris @doshiajames There is no change to 401K in our tax reform bill.,2017-11-03T02:07:31Z,935033864
926268753754632198,https://www.twitter.com/jahimes/statuses/926268753754632198,jahimes,Twitter for iPad,950 Pennsylvania Ave. Just down the street. Unfortunately run by a guy named Jeff Sessions. Who I think might take your call. https://twitter.com/realdonaldtrump/status/926249604936556545 QT @realDonaldTrump ....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?,2017-11-03T02:04:14Z,31611298
926268603112083456,https://www.twitter.com/WOWOpatmiller/statuses/926199280196562944,RepJimBanks,Twitter Web Client,"RT @WOWOpatmiller .@RepJimBanks provides an update on tax reform, declarations of war on terror groups, and calling for a new AUMF https://www.wowo.com/congressman-jim-banks-28/",2017-11-03T02:03:38Z,816131319033950208
926268380629348352,https://www.twitter.com/RepLloydDoggett/statuses/926268380629348352,RepLloydDoggett,Twitter for iPhone,"Thank you @AustinChronicle readers for my “Best of Austin” recognition for 10th time, I am truly humbled. https://www.austinchronicle.com/best-of-austin/year:2017/poll:readers/category:politics-and-media/lloyd-doggett-best-state-official/",2017-11-03T02:02:45Z,153944899
926268088038801408,https://www.twitter.com/RepJayapal/statuses/926268088038801408,RepJayapal,Twitter for Android,It's Mr. Moneybags 💰💰 and the wealthiest who will benefit the most from the GOP #BillionairesFirst tax plan. https://youtu.be/oUSkagEMz68,2017-11-03T02:01:36Z,815733290955112448
